"provenance_id","display_table","analysis_id_version","checkpoint_cache","molecules_tasks","target","baseline_steps","tie_policy","oracle_type","metrics","canonical_output_file","comparability_note","recommended_manuscript_status","artifact_scope","public_aggregate_location"
"P11","Table S27 GINE","gine_task_composition","Descriptive re-aggregation of P04's 33 GINE cells","Original 11 tasks or 8-task subset excluding B/P/X; three GINE seed cells per retained task","Same true-class signed GINE IG as P04","Zero-node baseline, 20 steps","include_all_exact_ties_v2","P04 schedule-matched exact-tie oracle","11-task 0.085/0.569/oracle 0.274/excess 0.294; 8-task 0.095/0.764/0.359/0.405","external-workspace/descriptive_audit","Do not pool or causally difference against P10; checkpoints, architecture, representation, and tie/oracle schedules differ.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
"P12","Table S28 global; Main Fig.5b","global_fraction_set_family","P07 cached rankings; 11 seed42 GIN cells","11 tasks x GIN x seed42; same at-most-100 identities; IG and GradInput; union reference","Observed true-class raw logit; signed cached scores","IG cache zero baseline, 20 steps; GradInput none","Global index: descending signed score, original atom-index tie break, ceil(lambda*m); no tie expansion","Measured-count-schedule rationale-first oracle calibrated separately","IG union risk 0.078856, retained 0.628444, oracle 0.285163, excess 0.343280; GradInput 0.074288/0.691387/0.285164/0.406224","external-workspace/set_family","Eleven-cell cached-score set-family analysis; neither P03's 66-cell subset nor P15's re-executed exact-tie row despite identical rounded IG risk/retained in S28 and S30.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/protocol_figure/inputs/set_family_task_macro.csv"
"P13","Table S28 minmax; Main Fig.5b","minmax_set_family","Same cached signed rankings and 11 cells/identities as P12","11 tasks x GIN x seed42; at-most-100 identities; union reference","Observed true-class raw logit; signed cached scores","IG cache zero baseline, 20 steps; GradInput none","Minmax threshold; within-molecule normalization; exact cutoff ties included; empty/full endpoints fixed","Family-specific measured-count-schedule rationale-first oracle","IG union risk 0.077471, retained 0.621931, oracle 0.362537, excess 0.259394; GradInput 0.074868/0.683561/0.385624/0.297936","external-workspace/set_family","Direct set-family sensitivity to P12 on identical rankings; smaller excess accompanies a different oracle schedule and is not ranking improvement.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/protocol_figure/inputs/set_family_task_macro.csv"
"P14","Table S29; Main Fig.5c","alternative_witness_loss","P12/P13 cached score source restricted to four Graph Attribution tasks","4 Graph Attribution tasks x GIN x seed42; 713 matched calibration/test records; union or legal-source-witness loss","Observed true-class raw logit; signed cached IG/GradInput","IG cache zero baseline, 20 steps; GradInput none","Global index or minmax family; union and alternative-witness losses calibrated separately","Schedule-matched union-first or smallest-legal-witness-first oracle; objective-specific","IG global union own/same-union risk 0.093404/0.093404, retained 0.823998; IG global witness own/same-union 0.083514/0.119462, retained 0.777040","external-workspace/set_family","Different task composition and estimand from S28; use same-set union risk for cross-loss diagnosis and do not treat four-task witness means as eleven-task means.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/protocol_figure/inputs/witness_cross_loss_family_macro.csv"
"P15","Table S30; Main Fig.5a","ig_target_integration_20_to_200_steps","Original 11 seed42 GIN checkpoints; exact identities/masks from the historical tie-inclusive cache; target-integration re-execution","11 tasks x GIN x seed42 = 11 cells; 1,066 calibration and 1,047 test task-molecule IDs; at most 100 per split","Observed class frozen along the path; raw observed-class logit; signed IG","Zero and fit-partition mean-atom baselines; 20/50/100/200 right-Riemann steps; batch size 16","include_all_exact_ties_v2; each variant calibrated independently","Variant-specific measured-count-schedule rationale-first oracle","Zero-20 risk 0.078799, retained 0.627962, oracle 0.280885, excess 0.347077, residual 1.603847; zero-200 0.072935/0.629168/0.282120/0.347047/0.136059","external-workspace/target_integration","target-integration re-execution; zero-20 is not P07 cached 0.080708, P08 first-rerun 0.079708, or P12 cached/index 0.078856.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/protocol_figure/inputs/target_comparisons.csv"
"P16","Tables S31-S32; Main Fig.5a","raw_logit_margin_comparison","P15 checkpoints, identities, and same-run scores","Same 11 seed42 GIN cells and 1,047 test task-molecule IDs","Observed class frozen; raw observed-class logit versus observed-class binary logit margin","IG zero or fit-mean baseline at 20/200 steps; GradInput none","include_all_exact_ties_v2; every target/variant calibrated independently","Target/variant-specific measured-count-schedule oracle","IG20 zero raw versus margin: risk 0.078799 vs 0.074206, retained 0.627962 vs 0.604418, excess 0.347077 vs 0.322562; IG200 zero rank Spearman 0.668 and set Jaccard 0.836","external-workspace/target_integration","Targets and variants have independent calibrations and oracle schedules; raw and margin scales are not interchangeable.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/protocol_figure/inputs/target_comparisons.csv"
"P17","Table S33","feature_replacement_sensitivity","P15/P16 calibrated sets; 20 deterministic equal-count random masks per molecule","Same 11 seed42 GIN cells; test molecules only; IG20-zero and GradInput under raw/margin targets","Row-specific raw or margin target; target decrease under feature replacement","Selected node vectors replaced by zero or fit-partition mean atom vector; topology retained","Inherits each upstream exact-tie calibrated set; random masks have equal atom count","None","Raw IG20 selected-minus-random mean contrast 9.356 for zero replacement (10/11 positive cells) and 7.000 for fit-mean replacement (8/11); all adverse rows retained","external-workspace/target_integration","Feature replacement is predictor sensitivity, not chemical deletion or causal fidelity; raw and margin contrast magnitudes use different scales.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
"P18","Main Fig. 6; Tables S34-S35","pharmacophore_reference_return_and_capacity","Released K4_2ar pharmacophore GCN and frozen atom-score outputs; no retraining or new attribution in the reference-return analysis","One K4_2ar task; fixed 512 validation and 512 test positive molecules; all 1,024 have nonempty computed references","Actual Grad-CAM and vanilla-gradient target the positive-class pre-sigmoid logit; the exact-return row scores the binary computed-reference vector","Grad-CAM and input-gradient norm, not IG; no integration baseline/steps; 101-point fraction grid from 0 to 1","include_all_exact_ties; every score-1 reference atom enters at the first positive cutoff","Exact reference-return benchmark is distinct from independently calibrated method-specific selected-count-schedule capacity oracles","Exact return: lambda 0.01, corrected calibration risk 0.001949, test risk 0, retained 0.582217, IoU 1, tie inflation 0.543764. Grad-CAM actual: lambda 0.90, risk 0.088852, retained 0.920677; schedule oracle: lambda 0.53, risk 0.084297, retained 0.556714, excess 0.363963","results/v8/pharmacophore_oracle","Exact-reference-return and schedule-matched capacity denominators are different estimands; neither is a shared cross-method oracle or a universal chemical lower bound.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/v8/pharmacophore_oracle"
"P19","Table S36","rings_count_class_strata","Historical full rings-count seed42 GIN/GCN molecule outputs plus the frozen A5 GIN seed42 checkpoint and identities for a fresh matched rerun","Historical full surface: 4,935 eligible calibration and 4,933 test molecules per model, with 1,503 positive and 3,430 negative test labels; matched surface: 100 calibration and 100 test molecules, with 29 positive and 71 negative test labels","Observed-class IG20 on both surfaces; positive-class IG20 on the matched surface; class fixed along each path","Zero-feature baseline; 20 IG steps; one global method-target fraction calibrated on the combined eligible population, never within a label stratum","Historical full branch uses index_tiebreak_v1; matched branch uses include_all_exact_ties_v2","Historical task-level rationale-first oracle or matched method-target selected-count-schedule oracle; each calibrated once on the combined eligible population","Full GIN observed-class risk: positive 0.004565, negative 0.133449; selected-minus-random +0.040711 vs -0.203320. Matched observed-class IG20: positive risk 0.007488 and contrast +0.008105; negative risk 0.133316 and contrast -0.162931. Positive-class lambda changes from 0.90 to 0.67; all A5 nominal fractions reproduce exactly and risk/retained drift is at most 0.001056","results/v8/rings_stratified","Descriptive label strata, not class-conditional CRC control or a new independent sample. Historical and matched perturbation comparator multiplicities differ; fresh-rerun drift is recorded, not overwritten.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/v8/rings_stratified"
"P20","Main Table 2; Table S38","complete_original_partition_established_explainer_extension","Original 66 P01 checkpoints; stored saliency and atom-feature-occlusion scores","11 tasks x 2 backbones x 3 seeds; all eligible official calibration/test molecules","Observed true-class raw logit; saliency is absolute input-gradient norm; occlusion is zero-feature logit decrease","Saliency and occlusion: no integration baseline or steps","Frozen historical index selector; exact-tie and fixed-budget diagnostic branches kept separate","No shared chemical lower bound; row-specific benchmark comparisons","All 66 score-cache cells and original 11-task paired bootstrap summaries reconstructed locally","results/full_grid/method_summary.csv","P01 gradient comparison rows are historical outputs; new full-partition saliency/occlusion and same-run subsets have distinct provenance.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/full_grid/method_summary.csv"
"P21","Tables S39-S40","independent_liver_chemical_reference","Six original Liver checkpoints; 96 original method-target attribution score files","33 nonempty-reference calibration and 31 nonempty-reference test molecules; six fixed models","Observed true class or fixed hepatotoxic class; four attribution methods","IG zero-feature baseline and 20 steps; GradInput, saliency and occlusion as in the frozen contract","Index-tiebreak or exact-tie inclusive policy; each calibrated independently","No experimentally verified atom-level causal oracle","288 original calibrated metric rows reconstructed; primary alpha0.10 intervals use 2000 shared 31-molecule resamples after six-model averaging","results/independent_reference/summary.csv","Source structural-alert masks are operational references. The eligible 31-molecule inference is conditional on the fixed split, calibration and predictors.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/independent_reference/summary.csv"
"P22","Main Fig. 3; Table S43","machine_vs_exact_integer_grid","P01 original checkpoints used for one new IG/GradInput score execution; original P20 scores reused","11 tasks x 2 backbones x 3 seeds; complete eligible official calibration/test partitions","True-class IG/GradInput signed scores; P20 saliency and atom-feature occlusion","IG zero baseline and 20 right-Riemann steps; other methods inherit P20/P01 settings","Same stored scores separately evaluated with historical machine ceil and exact integer (q*m+99)//100; original-index tie break","None; score-order and retained-size comparisons are descriptive","106656 cell-grid-method-split-q curve rows and 1584 independently calibrated operating points; independent stored-score reconstruction PASS 66/66","results/grid_sensitivity/method_summary.csv","New P01 gradient scores remain labelled P01_checkpoint_rerun; historical replay differences are preserved. Shared-q macro curves differ from independently calibrated macro operating points. No full packaged-adapter attribution rerun was performed.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/grid_sensitivity/method_summary.csv"
"P23","Main Fig. 4; Table S27","symmetric_four_method_task_composition","Descriptive re-aggregation of P20 comparison cells, retaining historical P01 gradient rows","All 11 tasks versus 8 tasks excluding B/P/X; the same four methods, six model-seed cells per task","Inherited original true-class targets and per-method semantics","Inherited frozen method settings; no new scoring","Frozen original index selector only for the primary comparison","Saving relative to the same existing random-ranking reference; no new universal oracle","Four public CSV summaries; paired effects use 5000 task-cluster resamples with shared task draws","results/task_symmetry/summary.csv","Task exclusion is a descriptive sensitivity, not independent confirmation; do not mix newly re-executed P22 gradients into these P20/P01 task summaries.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/task_symmetry/summary.csv"
"P24","Table S44","liver_corrected_vs_naive_crc","Original P21 scores, checkpoints, splits and target/policy definitions","Same 33 calibration and 31 test reference-bearing molecules; all six original models","Observed true class and fixed hepatotoxic class; all four original methods","Same scores for corrected and naive selectors; no new attribution or training","Corrected and naive selections under both original index and exact-tie policies","None","Primary alpha0.10 table and alpha0.05/0.20 sensitivity; 2000 paired resamples of 31 shared test molecules after averaging six models","results/liver_calibration/primary_table.csv","A finite-calibration conservatism audit on the fixed eligible source subset; not additional experimental validation or class-conditional risk control.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/liver_calibration/primary_table.csv"
