scope,target_a,target_b,shared_molecules
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL264_Ki,17
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL4792_Ki,1
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL233_Ki,33
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL234_Ki,90
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL235_EC50,0
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL236_Ki,20
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL237_Ki,37
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL264_Ki,192
full_mmp_series_manifest,CHEMBL228_Ki,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL234_Ki,45
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL235_EC50,1
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL236_Ki,1921
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL237_Ki,1979
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL264_Ki,5
full_mmp_series_manifest,CHEMBL233_Ki,CHEMBL4792_Ki,1
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL235_EC50,0
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL236_Ki,29
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL237_Ki,48
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL264_Ki,26
full_mmp_series_manifest,CHEMBL234_Ki,CHEMBL4792_Ki,1
full_mmp_series_manifest,CHEMBL235_EC50,CHEMBL236_Ki,0
full_mmp_series_manifest,CHEMBL235_EC50,CHEMBL237_Ki,1
full_mmp_series_manifest,CHEMBL235_EC50,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL235_EC50,CHEMBL264_Ki,0
full_mmp_series_manifest,CHEMBL235_EC50,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL236_Ki,CHEMBL237_Ki,1624
full_mmp_series_manifest,CHEMBL236_Ki,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL236_Ki,CHEMBL264_Ki,0
full_mmp_series_manifest,CHEMBL236_Ki,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL237_Ki,CHEMBL244_Ki,0
full_mmp_series_manifest,CHEMBL237_Ki,CHEMBL264_Ki,6
full_mmp_series_manifest,CHEMBL237_Ki,CHEMBL4792_Ki,1
full_mmp_series_manifest,CHEMBL244_Ki,CHEMBL264_Ki,0
full_mmp_series_manifest,CHEMBL244_Ki,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL264_Ki,CHEMBL4792_Ki,0
